hanger_id,case,model,hanger_type,global_dof,physical_test_direction,l_m,r_m,l_over_r,test_domain_min,test_domain_max,domain_status,pipe_axis_global,coordinate_evidence
OLBA32BQ021,case_E,PE/source,摆_z_CA,Ux,CA shared translation,1.3749999999999998,0.03,45.83333333333333,92.375,292.25,out_of_domain,x,"nearest line_pipe_1-1 element 2983; tangent=[0.999887515, 0.0, 0.014998549]"
OLBA32BQ021,case_E,PE/source,摆_z_CA,Uy,CA shared translation,1.2794999999999999,0.03,42.65,92.375,292.25,out_of_domain,x,"nearest line_pipe_1-1 element 2983; tangent=[0.999887515, 0.0, 0.014998549]"
OLBA32BQ003,case_E,PE/source,摆_z_CA,Ux,CA shared translation,1.668,0.0175,95.3142857142857,92.375,292.25,in_domain,z,"nearest line_pipe_1-1 element 3058; tangent=[0.0, 0.0, 1.0]"
OLBA32BQ003,case_E,PE/source,摆_z_CA,Uy,CA shared translation,1.668,0.0175,95.3142857142857,92.375,292.25,in_domain,z,"nearest line_pipe_1-1 element 3058; tangent=[0.0, 0.0, 1.0]"
OLBA32BQ001,case_E,PE/source,摆_z_CA,Ux,CA shared translation,1.668,0.0175,95.3142857142857,92.375,292.25,in_domain,z,"nearest line_pipe_1-1 element 41; tangent=[0.0, 0.0, 1.0]"
OLBA32BQ001,case_E,PE/source,摆_z_CA,Uy,CA shared translation,1.668,0.0175,95.3142857142857,92.375,292.25,in_domain,z,"nearest line_pipe_1-1 element 41; tangent=[0.0, 0.0, 1.0]"
OLBC10BQ019,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,4.855,0.04,121.37500000000001,45.0,337.125,in_domain,z,"nearest line_pipe_1-1 element 2636; tangent=[0.0, 0.0, 1.0]"
OLBC10BQ019,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,4.855,0.04,121.37500000000001,45.0,337.125,in_domain,z,"nearest line_pipe_1-1 element 2636; tangent=[0.0, 0.0, 1.0]"
OLBC10BQ017,case_E,PE/source,摆_z_CA,Ux,CA shared translation,5.81,0.0535,108.59813084112149,92.375,292.25,in_domain,z,"nearest line_pipe_1-1 element 2526; tangent=[0.0, 0.0, 1.0]"
OLBC10BQ017,case_E,PE/source,摆_z_CA,Uy,CA shared translation,5.329,0.0535,99.60747663551402,92.375,292.25,in_domain,z,"nearest line_pipe_1-1 element 2526; tangent=[0.0, 0.0, 1.0]"
OLBC10BQ016,case_E,PE/source,摆_x_TB+CSBD+CSB,Uy,SR shared axial calibration,0.973,0.0175,55.599999999999994,45.0,337.125,in_domain,z,"nearest line_pipe_1-1 element 2482; tangent=[0.0, 0.0, 1.0]"
OLBC10BQ016,case_E,PE/source,摆_x_TB+CSBD+CSB,Uz,SR shared axial calibration,0.973,0.0175,55.599999999999994,45.0,337.125,in_domain,z,"nearest line_pipe_1-1 element 2482; tangent=[0.0, 0.0, 1.0]"
OLBC10BQ015,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,3.275,0.039,83.97435897435898,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 2392; tangent=[0.0, 0.999987415, 0.005017012]"
OLBC10BQ015,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,2.7939999999999996,0.039,71.64102564102564,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 2392; tangent=[0.0, 0.999987415, 0.005017012]"
OLBC10BQ014,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,3.291,0.03,109.7,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 2294; tangent=[0.0, 0.999987371, 0.005025772]"
OLBC10BQ014,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,3.291,0.03,109.7,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 2294; tangent=[0.0, 0.999987371, 0.005025772]"
OLBC10BQ013,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,3.172,0.039,81.33333333333334,45.0,337.125,in_domain,x,"nearest line_pipe_1-1 element 2202; tangent=[0.99998742, 0.0, 0.005016017]"
OLBC10BQ013,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,3.172,0.039,81.33333333333334,45.0,337.125,in_domain,x,"nearest line_pipe_1-1 element 2202; tangent=[0.99998742, 0.0, 0.005016017]"
OLBC10BQ012,case_E,PE/source,摆_x_CA,Uy,CA shared translation,4.337,0.025,173.48,92.375,292.25,in_domain,x,"nearest line_pipe_1-1 element 2160; tangent=[0.999987515, 0.0, 0.004996918]"
OLBC10BQ012,case_E,PE/source,摆_x_CA,Uz,CA shared translation,4.337,0.025,173.48,92.375,292.25,in_domain,x,"nearest line_pipe_1-1 element 2160; tangent=[0.999987515, 0.0, 0.004996918]"
OLBC10BQ011,case_E,PE/source,摆_z_CA,Ux,CA shared translation,5.156,0.035,147.3142857142857,92.375,292.25,in_domain,x,"nearest line_pipe_1-1 element 2085; tangent=[0.999987515, 0.0, 0.004996918]"
OLBC10BQ011,case_E,PE/source,摆_z_CA,Uy,CA shared translation,5.156,0.035,147.3142857142857,92.375,292.25,in_domain,x,"nearest line_pipe_1-1 element 2085; tangent=[0.999987515, 0.0, 0.004996918]"
OLBC10BQ010,case_E,PE/source,摆_y_TB+CSBD+CSB,Ux,SR shared axial calibration,1.103,0.02,55.15,45.0,337.125,in_domain,x,"nearest line_pipe_1-1 element 2059; tangent=[0.999987128, 0.0, 0.005073885]"
OLBC10BQ010,case_E,PE/source,摆_y_TB+CSBD+CSB,Uz,SR shared axial calibration,1.103,0.02,55.15,45.0,337.125,in_domain,x,"nearest line_pipe_1-1 element 2059; tangent=[0.999987128, 0.0, 0.005073885]"
OLBC10BQ009,case_E,PE/source,摆_z_CA,Ux,CA shared translation,6.13,0.0275,222.9090909090909,92.375,292.25,in_domain,z,"nearest line_pipe_1-1 element 1985; tangent=[0.0, 0.0, 1.0]"
OLBC10BQ009,case_E,PE/source,摆_z_CA,Uy,CA shared translation,6.13,0.0275,222.9090909090909,92.375,292.25,in_domain,z,"nearest line_pipe_1-1 element 1985; tangent=[0.0, 0.0, 1.0]"
OLBC10BQ008,case_E,PE/source,摆_z_CA,Ux,CA shared translation,1.82,0.03,60.66666666666667,92.375,292.25,out_of_domain,z,"nearest line_pipe_1-1 element 1909; tangent=[0.0, 0.0, 1.0]"
OLBC10BQ008,case_E,PE/source,摆_z_CA,Uy,CA shared translation,1.82,0.03,60.66666666666667,92.375,292.25,out_of_domain,z,"nearest line_pipe_1-1 element 1909; tangent=[0.0, 0.0, 1.0]"
OLBC10BQ007,case_E,PE/source,摆_z_CA,Ux,CA shared translation,2.6889999999999996,0.07,38.414285714285704,92.375,292.25,out_of_domain,y,"nearest line_pipe_1-1 element 1800; tangent=[0.0, 0.999949995, 0.010000354]"
OLBC10BQ007,case_E,PE/source,摆_z_CA,Uy,CA shared translation,2.6889999999999996,0.07,38.414285714285704,92.375,292.25,out_of_domain,y,"nearest line_pipe_1-1 element 1800; tangent=[0.0, 0.999949995, 0.010000354]"
OLBC10BQ006,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,0.953,0.02,47.65,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 1763; tangent=[0.0, 0.999949997, 0.010000163]"
OLBC10BQ006,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,0.953,0.02,47.65,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 1763; tangent=[0.0, 0.999949997, 0.010000163]"
OLBC10BQ005,case_E,PE/source,摆_z_CA,Ux,CA shared translation,3.1169999999999995,0.018,173.16666666666666,92.375,292.25,in_domain,y,"nearest line_pipe_1-1 element 1738; tangent=[0.0, 0.999949997, 0.010000163]"
OLBC10BQ005,case_E,PE/source,摆_z_CA,Uy,CA shared translation,3.1169999999999995,0.018,173.16666666666666,92.375,292.25,in_domain,y,"nearest line_pipe_1-1 element 1738; tangent=[0.0, 0.999949997, 0.010000163]"
OLBC10BQ004,case_E,PE/source,摆_z_CA,Ux,CA shared translation,2.77,0.028,98.92857142857143,92.375,292.25,in_domain,y,"nearest line_pipe_1-1 element 1691; tangent=[0.0, 0.999950006, 0.009999318]"
OLBC10BQ004,case_E,PE/source,摆_z_CA,Uy,CA shared translation,2.77,0.028,98.92857142857143,92.375,292.25,in_domain,y,"nearest line_pipe_1-1 element 1691; tangent=[0.0, 0.999950006, 0.009999318]"
OLBC10BQ003,case_E,PE/source,摆_z_CA,Ux,CA shared translation,2.779,0.028,99.25,92.375,292.25,in_domain,y,"nearest line_pipe_1-1 element 1492; tangent=[0.0, 0.999950031, 0.009996771]"
OLBC10BQ003,case_E,PE/source,摆_z_CA,Uy,CA shared translation,2.779,0.028,99.25,92.375,292.25,in_domain,y,"nearest line_pipe_1-1 element 1492; tangent=[0.0, 0.999950031, 0.009996771]"
OLBC10BQ001,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,2.9299999999999997,0.0175,167.4285714285714,45.0,337.125,in_domain,z,"nearest line_pipe_1-1 element 1637; tangent=[0.0, 0.0, 1.0]"
OLBC10BQ001,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,2.9299999999999997,0.0175,167.4285714285714,45.0,337.125,in_domain,z,"nearest line_pipe_1-1 element 1637; tangent=[0.0, 0.0, 1.0]"
