exp_id,mode,fit_group,m,l,r,f_exp_compare6,f_exp_h5,freq_source_status,fit_status
TB_13+07_Mid_AA,planar_rotation,OTHERS,451.94,2.437,0.008,0.3607,0.36070001125335693,both,used_in_fit
TB_13+07_Mid_AA,radial,OTHERS,451.94,2.827,0.008,0.2993,0.2992999851703644,both,used_in_fit
TB_13+07_Mid_AR,axial,OTHERS,451.94,2.437,0.008,0.3272,0.3271999955177307,both,used_in_fit
TB_13+07_Mid_AR,planar_rotation,OTHERS,451.94,2.437,0.008,0.3736,0.3736000061035156,both,used_in_fit
TB_13+07_Mid_AR,radial,OTHERS,451.94,2.827,0.008,0.2963,0.2962999939918518,both,used_in_fit
TB_13+07_Mid_RA,axial,OTHERS,451.94,2.437,0.008,0.3356,0.33559998869895935,both,used_in_fit
TB_13+07_Mid_RA,planar_rotation,OTHERS,451.94,2.437,0.008,0.3673,0.36730000376701355,both,used_in_fit
TB_13+07_Mid_RA,radial,OTHERS,451.94,2.827,0.008,0.2981,0.29809999465942383,both,used_in_fit
TB_13+07_Mid_RR,axial,OTHERS,451.94,2.437,0.008,0.3305,0.3305000066757202,both,used_in_fit
TB_13+07_Mid_RR,planar_rotation,OTHERS,451.94,2.437,0.008,0.3714,0.37139999866485596,both,used_in_fit
TB_13+07_Mid_RR,radial,OTHERS,451.94,2.827,0.008,0.2972,0.2971999943256378,both,used_in_fit
TB_13_A,axial,OTHERS,417.74,1.378,0.008,0.4457,0.4456999897956848,both,used_in_fit
TB_13_A,planar_rotation,OTHERS,417.74,1.378,0.008,0.4848,0.4848000109195709,both,used_in_fit
TB_13_A,radial,OTHERS,417.74,1.768,0.008,0.3691,0.36910000443458557,both,used_in_fit
TB_13_R,axial,OTHERS,417.74,1.378,0.008,0.4496,0.4496000111103058,both,used_in_fit
TB_13_R,planar_rotation,OTHERS,417.74,1.378,0.008,0.485,0.48500001430511475,both,used_in_fit
TB_13_R,radial,OTHERS,417.74,1.768,0.008,0.3704,0.37040001153945923,both,used_in_fit
TB_13_Top_A,axial,OTHERS,451.94,1.638,0.008,0.4026,0.4025999903678894,both,used_in_fit
TB_13_Top_A,planar_rotation,OTHERS,451.94,1.638,0.008,0.4517,0.45170000195503235,both,used_in_fit
TB_13_Top_A,radial,OTHERS,451.94,2.028,0.008,0.3517,0.3517000079154968,both,used_in_fit
TB_13_Top_R,axial,OTHERS,451.94,1.638,0.008,0.4072,0.40720000863075256,both,used_in_fit
TB_13_Top_R,planar_rotation,OTHERS,451.94,1.638,0.008,0.454,0.45399999618530273,both,used_in_fit
TB_13_Top_R,radial,OTHERS,451.94,2.028,0.008,0.352,0.35199999809265137,both,used_in_fit
