exp_id,mode,fit_group,m,l,r,f_exp_compare6,f_exp_h5,f_exp_used,f_pend,f_fit,fit_used,err_abs_hz,err_rel,A_mode,B_mode
TB_07+07_Mid_AA,radial,OTHERS,451.94,2.227,0.008,0.334,0.33399999141693115,0.334,0.33403696323571497,0.3375233069053238,True,0.0035233069053237642,0.010548823069831629,30.45839197950269,-0.29338204004292534
TB_07+07_Mid_AR,radial,OTHERS,451.94,2.227,0.008,0.3334,0.33340001106262207,0.3334,0.33403696323571497,0.3375233069053238,True,0.004123306905323809,0.012367447226526123,30.45839197950269,-0.29338204004292534
TB_07+07_Mid_RA,radial,OTHERS,451.94,2.227,0.008,0.337,0.3370000123977661,0.337,0.33403696323571497,0.3375233069053238,True,0.0005233069053237616,0.0015528394816728829,30.45839197950269,-0.29338204004292534
TB_07+07_Mid_RR,radial,OTHERS,451.94,2.227,0.008,0.3361,0.3361000120639801,0.3361,0.33403696323571497,0.3375233069053238,True,0.0014233069053237735,0.004234772107479243,30.45839197950269,-0.29338204004292534
TB_07+13_Mid_AA,radial,OTHERS,451.94,2.827,0.008,0.2953,0.2953000068664551,0.2953,0.29647749400409673,0.29875344283058153,True,0.0034534428305815212,0.011694692958284866,30.45839197950269,-0.29338204004292534
TB_07+13_Mid_AR,radial,OTHERS,451.94,2.827,0.008,0.2968,0.29679998755455017,0.2968,0.29647749400409673,0.29875344283058153,True,0.00195344283058152,0.0065816806960293794,30.45839197950269,-0.29338204004292534
TB_07+13_Mid_RA,radial,OTHERS,451.94,2.827,0.008,0.3009,0.30090001225471497,0.3009,0.29647749400409673,0.29875344283058153,True,0.0021465571694184726,0.007133789197136832,30.45839197950269,-0.29338204004292534
TB_07+13_Mid_RR,radial,OTHERS,451.94,2.827,0.008,0.2989,0.2989000082015991,0.2989,0.29647749400409673,0.29875344283058153,True,0.00014655716941847086,0.0004903217444579152,30.45839197950269,-0.29338204004292534
TB_13+07_Mid_AA,radial,OTHERS,451.94,2.827,0.008,0.2993,0.2992999851703644,0.2993,0.29647749400409673,0.29875344283058153,True,0.0005465571694184823,0.0018261181738004754,30.45839197950269,-0.29338204004292534
TB_13+07_Mid_AR,radial,OTHERS,451.94,2.827,0.008,0.2963,0.2962999939918518,0.2963,0.29647749400409673,0.29875344283058153,True,0.0024534428305815204,0.008280266049887007,30.45839197950269,-0.29338204004292534
TB_13+07_Mid_RA,radial,OTHERS,451.94,2.827,0.008,0.2981,0.29809999465942383,0.2981,0.29647749400409673,0.29875344283058153,True,0.0006534428305815521,0.002192025597388635,30.45839197950269,-0.29338204004292534
TB_13+07_Mid_RR,radial,OTHERS,451.94,2.827,0.008,0.2972,0.2971999943256378,0.2972,0.29647749400409673,0.29875344283058153,True,0.0015534428305815084,0.005226927424567659,30.45839197950269,-0.29338204004292534
TB_07+07_MidTop_AA,radial,OTHERS,486.14,2.487,0.008,0.3198,0.3197999894618988,0.3198,0.31609435694757776,0.3189563353907033,True,0.0008436646092966904,0.002638100717000283,30.45839197950269,-0.29338204004292534
TB_07+07_MidTop_AR,radial,OTHERS,486.14,2.487,0.008,0.3203,0.32030001282691956,0.3203,0.31609435694757776,0.3189563353907033,True,0.0013436646092966908,0.004195019073670593,30.45839197950269,-0.29338204004292534
TB_07+07_MidTop_RA,radial,OTHERS,486.14,2.487,0.008,0.3213,0.3212999999523163,0.3213,0.31609435694757776,0.3189563353907033,True,0.0023436646092966917,0.007294318734194497,30.45839197950269,-0.29338204004292534
TB_07+07_MidTop_RR,radial,OTHERS,486.14,2.487,0.008,0.3216,0.3215999901294708,0.3216,0.31609435694757776,0.3189563353907033,True,0.002643664609296714,0.008220350153285804,30.45839197950269,-0.29338204004292534
TB_07+13_MidTop_AA,radial,OTHERS,486.14,3.087,0.008,0.287,0.28700000047683716,0.287,0.28371762818661755,0.2856621549952185,True,0.0013378450047814572,0.004661480852897064,30.45839197950269,-0.29338204004292534
TB_07+13_MidTop_AR,radial,OTHERS,486.14,3.087,0.008,0.2869,0.28690001368522644,0.2869,0.28371762818661755,0.2856621549952185,True,0.0012378450047814682,0.004314552125414668,30.45839197950269,-0.29338204004292534
TB_07+13_MidTop_RA,radial,OTHERS,486.14,3.087,0.008,0.2876,0.28760001063346863,0.2876,0.28371762818661755,0.2856621549952185,True,0.0019378450047815021,0.006737986803829979,30.45839197950269,-0.29338204004292534
TB_07+13_MidTop_RR,radial,OTHERS,486.14,3.087,0.008,0.287,0.28700000047683716,0.287,0.28371762818661755,0.2856621549952185,True,0.0013378450047814572,0.004661480852897064,30.45839197950269,-0.29338204004292534
TB_13+07_MidTop_AA,radial,OTHERS,486.14,3.087,0.008,0.2879,0.28790000081062317,0.2879,0.28371762818661755,0.2856621549952185,True,0.002237845004781469,0.0077729941117800246,30.45839197950269,-0.29338204004292534
TB_13+07_MidTop_AR,radial,OTHERS,486.14,3.087,0.008,0.2868,0.28679999709129333,0.2868,0.28371762818661755,0.2856621549952185,True,0.0011378450047814792,0.003967381467159969,30.45839197950269,-0.29338204004292534
TB_13+07_MidTop_RA,radial,OTHERS,486.14,3.087,0.008,0.2873,0.2872999906539917,0.2873,0.28371762818661755,0.2856621549952185,True,0.0016378450047814797,0.005700817976963034,30.45839197950269,-0.29338204004292534
TB_13+07_MidTop_RR,radial,OTHERS,486.14,3.087,0.008,0.2874,0.2874000072479248,0.2874,0.28371762818661755,0.2856621549952185,True,0.0017378450047814686,0.006046781505850622,30.45839197950269,-0.29338204004292534
CSBD_07_A,radial,OTHERS,435.693,1.065,0.0125,0.5457,0.5457000136375427,0.5457,0.48303636939912187,0.5059286882273544,True,0.03977131177264559,0.07288127500942934,30.45839197950269,-0.29338204004292534
CSBD_07_R,radial,OTHERS,435.693,1.065,0.0125,0.5291,0.5291000008583069,0.5291,0.48303636939912187,0.5059286882273544,True,0.023171311772645642,0.043793823044123305,30.45839197950269,-0.29338204004292534
