mode,exp_id,support_type,l_m,r_m,pi_l,pi_k_exp,pi_k_pred_TB,pi_k_pred_ALL,f_exp,f_pred_TB,f_pred_ALL,rel_error_TB,rel_error_ALL
axial,CA_13_Top_R,CA,1.599,0.008,199.875,45.85562362077376,22.422841826683012,20.953161452058918,0.4371,0.4157371057369649,0.4143605428980188,-0.5110121713288641,-0.5430623378859337
axial,CA_07+13_Mid_AA,CA,2.338,0.008,292.25,29.557309476543328,23.304432236315968,23.54844403123218,0.3421,0.33876010928606154,0.3388910621105834,-0.21155096153760683,-0.20329541327433007
axial,CA_07+13_Mid_AR,CA,2.338,0.008,292.25,30.31029502667478,23.304432236315968,23.54844403123218,0.3425,0.33876010928606154,0.3388910621105834,-0.2311380599955644,-0.22308760074726386
axial,CA_07+13_Mid_RA,CA,2.338,0.008,292.25,21.51828681806486,23.304432236315968,23.54844403123218,0.3378,0.33876010928606154,0.3388910621105834,0.08300593041410803,0.09434567121128713
axial,CA_07+13_Mid_RR,CA,2.338,0.008,292.25,27.86630917065554,23.304432236315968,23.54844403123218,0.3412,0.33876010928606154,0.3388910621105834,-0.16370581788934688,-0.15494930142992402
axial,CA_13+07_Mid_AA,CA,2.338,0.008,292.25,24.49767223757406,23.304432236315968,23.54844403123218,0.3394,0.33876010928606154,0.3388910621105834,-0.04870830133109238,-0.038747689867691754
axial,CA_13+07_Mid_AR,CA,2.338,0.008,292.25,19.107902639750126,23.304432236315968,23.54844403123218,0.3365,0.33876010928606154,0.3388910621105834,0.2196227223722509,0.23239292533574069
axial,CA_13+07_Mid_RA,CA,2.338,0.008,292.25,20.590116089000894,23.304432236315968,23.54844403123218,0.3373,0.33876010928606154,0.3388910621105834,0.1318261701673962,0.1436770890190175
axial,CA_13+07_Mid_RR,CA,2.338,0.008,292.25,20.775640245688614,23.304432236315968,23.54844403123218,0.3374,0.33876010928606154,0.3388910621105834,0.12171908835166378,0.13346417981602188
axial,TB_07_A,TB,0.778,0.008,97.25,16.010168405413168,20.841692973937,16.79141068089947,0.6099,0.6227729003572265,0.6119998592476175,0.3017784976509213,0.048796630722644896
axial,TB_07_R,TB,0.778,0.008,97.25,15.861654842094152,20.841692973937,16.79141068089947,0.6095,0.6227729003572265,0.6119998592476175,0.31396712268802296,0.05861657236027503
axial,TB_13_A,TB,1.378,0.008,172.24999999999997,17.50116267612967,22.08683701804599,20.016794999194115,0.4457,0.45105341599603443,0.4486447134812898,0.2620211254976134,0.1437408685135866
axial,TB_13_R,TB,1.378,0.008,172.24999999999997,20.836443212021805,22.08683701804599,20.016794999194115,0.4496,0.45105341599603443,0.4486447134812898,0.06000994475404311,-0.039337242181275246
axial,TB_07_Top_A,TB,1.038,0.008,129.75,41.92364446651609,21.460665445109417,18.34736553111237,0.5628,0.5281940292934111,0.5227282143210459,-0.4881011486906919,-0.5623623431458543
axial,TB_07_Top_R,TB,1.038,0.008,129.75,22.151940998365347,21.460665445109417,18.34736553111237,0.5294,0.5281940292934111,0.5227282143210459,-0.031206094008057444,-0.171749079122851
axial,TB_13_Top_A,TB,1.638,0.008,204.74999999999997,14.014112152187511,22.47775555925653,21.108928151248207,0.4026,0.41031408063004365,0.4090763410686347,0.6039371824028038,0.5062622535066014
axial,TB_13_Top_R,TB,1.638,0.008,204.74999999999997,19.041751787256256,22.47775555925653,21.108928151248207,0.4072,0.41031408063004365,0.4090763410686347,0.18044578095487138,0.10856019903459799
